pair,src_text,mt_text,human_score,fluency2,gemba_score,disagreement,f2_overestimates,issue_type,severity,low_confidence,main_issue,idiomatic,collocational,discourse,pragmatic,calque
EN→uk_UA,"Game 9 of #UniversityChallenge was a hell of a match. Oriel Oxford (530 students) vs Durham (20,000), and Oriel won, which surprised me after some mistakes they made. The captain didn't know Wittengstein's name!? Possibly just nerves. Durham was ahead, then it was tied at 170, then they dropped to 165. A pity. I was rooting for them. Great team, with all four strong, so I hope they make the cut.","Гра № 9 #UniversityChallenge була неймовірним матчем. «Оріел Оксфорд» (530 студентів) проти «Дархема» (20 000), і «Оріел» виграв, що мене здивувало після кількох їхніх помилок. Капітан не знав імені Вітгенштейна!? Можливо, це просто нерви. «Дархем» був попереду, потім вони зрівнялися на 170, а потім опустилися до 165. Шкода. Я за них вболівав. Відмінна команда, всі четверо сильні, тому сподіваюся, що вони пройдуть далі.",84.5,3.6269892251372244,100.0,1.662666515160022,True,calque,minor,False,"Minor literalism in the use of prepositions and score descriptions, though the overall flow is very natural.",8.0,8.0,9.0,9.0,8.0
EN→bho_IN,"Anyway, we know how this ends. In the largest sense, with the cancellation of programmes mandated democratically in Congress by a bunch of unelected goons in puffer vests. And in the smallest sense, with one of these 22-year-old jerks spilling his Big Gulp cup of Mountain Dew over a keyboard at the Treasury and wiping the social security data of 70 million Americans. I look forward to watching as Big Balls and co find new ways to tank an economy even more efficiently and irreversibly than Brexit.","वैसे, हम जानत बानी कि एह कहानी कवनसे पर कवनसे होखता। आपन व्यापक रूप से देखल जाए त, कांग्रेस में लोकतान्त्रिक रूप से पारित कइल गइल प्रोग्राम सभ के कुछ अनर्चित लोगने, जे पफ वेस्ट पहिरल लोगने, रद्द क देले। अउर छोट रूप से देखल जाए त, एह 22 वर्सीय बेवकूफ में से एक आदमी ट्रेजरी में माउंटेन ड्यू के कप उल्टा कइला से कीबोर्ड पर गिरा देल, आ 70 मिलियन अमेरिकी लोग के सामाजिक सुरक्षा के डेटा मिटा देल। देखल मे आनंद मिलत, जब उह लोग नईहन तरीका खोजत, एह अर्थव्यवस्था के ब्रेक्सिट से भी ज्यादा कुशलता से और अपरिवर्तनीय रूप से तबाह करे।",91.5,1.2700842673317885,45.0,1.661263245080654,False,register_mismatch,major,False,"The translation uses stiff, formal Hindi vocabulary and literal phrasing that fails to capture the cynical, informal, and snarky tone of the original English text.",3.0,3.0,4.0,2.0,3.0
EN→ru_RU,"Game 14 of #UniversityChallenge was top-notch stuff, solid quizzing, down to business, fast answers, good knowledge, close ending. It seems we'll see both SOAS London and St. Edmund Hall Oxford again, because the loser makes the repechage. Very close at the finish, down to ""Naples"" and ""pollen."" An unassumingly great game.","Четырнадцатая игра в рамках проекта #UniversityChallenge оказалась на высшем уровне: серьезный подход к соревнованию, быстрые ответы участников, глубокие знания, напряженная концовка. Похоже, обе команды — SOAS London и St. Edmund Hall Oxford — ещё увидим в следующих этапах, так как проигравший попадает в утешительный раунд. Финал был очень напряженным: решающими стали ответы на вопросы о Неаполе и пыльце. Отличная игра.",52.0,2.891841043141615,94.0,1.6605777294685125,True,register_mismatch,minor,False,"The translation shifts the punchy, informal tone of a tweet into a more formal register and loses the nuance of 'unassumingly'.",7.0,8.0,7.0,6.0,8.5
EN→sr_Cyrl_RS,🧵 Even the dogs here speak German! They are all wauwau insteaf of Bark Bark,"🧵 Чак и пси овде лају на немачком! Уместо „вау-вау“, они лају „вау-вау“ (на немачком).",95.0,1.3509617472547317,40.0,1.6587812769071757,False,idiom_literal,major,False,"The translation fails to adapt the onomatopoeia, resulting in a tautology where the dog says the same thing it is supposedly replacing, ruining the joke.",3.5,4.5,2.5,2.0,3.5
EN→bho_IN,"And that's about as good a job as I can do really. Hopefully some of it will still be useable in a few months when it's done properly by a professional.
At least the fridge ought to carry over.
The bed folding down past the passenger seat is great. I'm too talk for this van really, but that makes it workable. Shame the seat/bed has to be so narrow though. The two-seater was very temping and feels like it ought to just about fit but, wouldn't really be any way to unfold it from within the van and the steering wheel gets in the way for folding the driving seat down like the passenger seat does so couldn't really go flat without also lifting up.","आ ऊ लगभग ओतने बढ़िया काम बा जतना हम सही में कर सकीलें. उम्मीद बा कि कुछ महीना में भी एकरा में से कुछ उपयोगी हो जाई जब एकरा के कवनो प्रोफेशनल के ओर से सही तरीका से कईल जाई।
कम से कम फ्रिज के त कैरी ओवर करे के चाही।
सवारी सीट से आगे नीचे तह बिस्तर बहुत बढ़िया बा। हम ए वैन खातिर बहुत बात करतानी सचमुच, लेकिन एकरा से एकरा के काम करे लायक बनावल जा सकता। शर्म के बात बा कि सीट/बिस्तर हालांकि एतना संकरी होखे के पड़ेला। दु सीटर बहुत टेम्पिंग रहे अवुरी लागता कि एकरा के बस लगभग फिट होखे के चाही लेकिन, वास्तव में वैन के भीतर से एकरा के खोले के कवनो तरीका ना होई अवुरी स्टीयरिंग व्हील ड्राइविंग सीट के नीचे तह करे के रास्ता में आ जाला जईसे कि सवारी सीट करेला एहसे सचमुच बिना भी ऊपर उठवले सपाट ना हो सकता।",92.5,1.297091939611695,54.0,1.6553997476680473,False,idiom_literal,major,False,The translation uses literal renderings for English idioms like 'shame' (translated as moral disgrace) and fails to handle the source typo 'talk' (for 'tall') sensibly.,3.0,3.5,4.0,3.0,3.0
EN→ar_EG,"This chair works very well in the van. Should ideally be fastened better to the floor, but it has a nice three mode positions.
Seating, and chaise-long, and flat as a bed with the passenger seat folded down.",هذا الكرسي يعمل بشكل جيد جدًا في سيارة الفان. يجب أن يتم تثبيته بشكل أفضل على الأرضية، لكنه يتمتع بثلاث وضعيات مريحة جدًا: وضع الجلوس، وضع الاسترخاء (مثل الشايزلونج)، وضع السرير عند طي كرسي الراكب الأمامي.,0.0,1.7140140698084823,92.0,1.6551343372046208,True,register_mismatch,major,False,The translation uses formal Modern Standard Arabic (MSA) and literal calques instead of natural Egyptian Arabic (ar_EG) idioms and register.,5.0,6.0,7.0,5.0,5.0
EN→sr_Cyrl_RS,"🧵 Time to go grocery shopping in this tiny town of 75k. Kinda nervous.
---
Also I got bumped on my language course 😭. Not enough people this cycle. 
I inquired about normal attendance and they said I just so happen to get unlucky, because their A1.1 course is their most popular. But its all good! They DO have an online course that starts next week. Ill probably take that, even though I wanted to be in person for multiple reasons :p. Ill get started with my vocabulary with Anki/SRS in the meantime. LetMeTellYou I can study well 😬","🧵 Време је за куповину намирница у овом малом граду од 75 хиљада људи. Мало сам нервозна. --- Такође, закачио сам се на курс језика 😭. Нема довољно људи овог циклуса. Распитала сам се за редовно присуство и рекли су ми да сам само имала пех, јер је њихов А1.1 курс најпопуларнији. Али све је добро! ИМАЈУ онлајн курс који почиње следеће недеље. Вероватно ћу га похађати, иако сам желела да будем присутна лично из више разлога :p. У међувремену ћу почети са учењем вокабулара са Анки/СРС. Дозволите ми да вам кажем да могу добро да учим 😬",100.0,1.4675087837966925,58.0,1.6539036335596555,False,idiom_literal,major,True,The translation fails on gender consistency (switching between masculine and feminine) and completely mistranslates 'got bumped' as 'got hooked on'.,4.0,5.0,4.5,3.5,4.5
EN→bho_IN,"""Talk of badges reminds of the famous one from the 1960s-70s,"" says Merran Loewenthal of Birchgrove. """"It Begins When You Sink in His Arms and Ends with Your Arms in His Sink."""" Jonty Grinter of Katoomba has one that reads ""Chronically Advantaged"" and adds that ""it should be standard issue for all over seventy.""","""बैज के चर्चा 1960-70 के दशक के एगो प्रसिद्ध बैज के याद दिलावेला"", बर्चग्रोव के मेर्रन लोवेन्थल कहेलन. ""इ तब शुरू होला जब आप उनकर बाहों में डूब जा आ उनकर सिंक में आपन बाहों के साथ समाप्त होला"". काटोम्बा के जॉन्टी ग्रिंटर के एगो अइसन बा जे ""क्रॉनिकली एडवांटेज्ड"" पढ़ले बा आउर जोड़ले बा कि ""इ सब सत्तर साल से ऊपर के खातिर मानक मुद्दा होवे के चाहीं"".",90.5,1.2544553921082682,55.0,1.6520874727886488,False,calque,major,False,"The translation uses a literal calque for 'standard issue' (using a word for 'topic') and fails to adapt the 'sink' pun, making the text nonsensical.",3.0,3.0,4.5,2.0,2.0
EN→ja_JP,"You can get a folding leaf table, and if you saw off the bottom 15cm or so of the panels forming the sides and front of the table, and also don't bother to attach any of the the back leaf, then it becomes just the right height to mostly fit under the rear window.
It's a little higher than the camper-fridge, but the camper fridge is pretty much the same height as a little bedside cabinet.
There's also a small rectangular sink that fits nicely around the same width as the fridge alongside that cut down table.
And thus, the interior can be mostly constructed in my flat. The kids in the flat upstairs kept waving as me as I was doing a terrible job of cutting down those panels with a jigsaw in the yard.","折りたたみ式のテーブルを手に入れ、テーブルの側面と前面を形成するパネルの下部15cmほどを切り落とし、さらに後部のリーフを取り付けなければ、後部窓の下にほぼ収まる高さになります。
キャンパーフリッジより少し高いですが、キャンパーフリッジはほぼベッドサイドキャビネットと同じ高さです。
また、テーブルを切り詰めた横には、フリッジとほぼ同じ幅の小さな長方形のシンクがぴったり収まります。
そのため、内装のほとんどを自宅で組み立てることができます。上の階の子供たちは、私が中庭でジグソーでパネルを雑に切っている間、ずっと手を振っていました。",73.5,3.3687908785560223,92.0,1.6495634387766172,True,collocation,minor,False,The phrase 'テーブルを切り詰めた横' is slightly awkward; it should be '切り詰めたテーブルの横' to correctly describe the modified object.,8.0,7.0,9.0,8.0,8.5
EN→ar_EG,"🧵 So I was upset to give away my Sodastream and Restaurant sized canister mod for it, because I've been big into fizzy water and making homemade healthy sodas.
TURNS OUT Germany LOVES FIZZY WATER! You actually have to specify Flat sometimes! 😅 
I just like it because when it's overcarbonated and you drink it and it's so intense it hurts... it feels refreshing! 
🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧","🧵 كنت زعلانة إني اضطريت أتخلى عن جهاز السوداستريم بتاعي والكانستر الكبير اللي بيناسبه، لأن أنا بحب جداً المية الغازية وعمل مشروبات صودا صحية في البيت.
اكتشفت إن ألمانيا بتحب المية الغازية جداً! في بعض الأحيان لازم تحددي إنك عايزة مية عادية مش غازية! 😅
أنا بحبها لأن لما تكون المية غازية جداً وتشربيها وتكون قوية لدرجة إنها توجعك... بتحسي إنها منعشة!
🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧",68.0,3.242243469340087,92.0,1.6463845477945687,True,register_mismatch,minor,False,"The translation uses Standard Arabic connectors (لأن, في بعض الأحيان) which slightly clash with the otherwise natural Egyptian dialect.",8.0,8.0,7.0,8.0,8.0
EN→ar_EG,"Declan shook his hand, barely keeping the awe off his face. A breath slipped out, half disbelief, half nerves, and before he could stop himself, his mouth got ahead of his brain.
“I had you on my fantasy team last year. Not gonna lie, you lost me the championship.”
Declan pressed his lips together the second the words left his mouth, the grin fading as panic crept in. Nice one, he thought. Way to chirp an NHL vet five minutes into meeting him. He resisted the urge to bury his face in his hands.
A snicker sounded behind him. Declan glanced over his shoulder to see Coach Luc with a hand half-covering his mouth, doing a poor job of hiding his amusement. ","صافح ديكلان يده، بالكاد يحتفظ بالإعجاب من الظهور على وجهه. تسللت زفرة منه، نصفها عدم تصديق، ونصفها توتر، وقبل أن يتمكن من منع نفسه، سبق فمه عقله.
لقد كنت ضمن فريق الفانتازي الخاص بي العام الماضي. لن أكذب، لقد خسرت لي البطولة.
ضغط ديكلان شفتيه بمجرد أن غادرت الكلمات فمه، وتلاشت الابتسامة مع تسرب القلق إليه. أحسنت، فكر. طريقة رائعة للتغريد على لاعب محترف في الدوري الوطني للهوكي بعد خمس دقائق من لقائه. قاوم الرغبة في دفن وجهه بين يديه.
ضحكة خفية تعالت خلفه. ألقى ديكلان نظرة من فوق كتفه ليرى المدرب لوك ويده تغطي فمه جزئياً، يبذل جهداً ضعيفاً لإخفاء سروره.",0.0,1.7039351639401723,60.0,1.6418131238171443,True,idiom_literal,major,False,"The translation treats the hockey slang 'chirp' (meaning to tease or trash-talk) literally as bird chirping/tweeting, which makes no sense in context.",5.0,6.0,7.0,4.0,5.0
EN→ar_EG,"Music to my ears, really - I'm just pleased that while years ago you could walk into a pub and reasonably expect that Guinness wouldn't be served there, these days I can pretty much get my preferred pint anywhere. And, among all of the arguments to explain the surge in approval for the drink, it is important to acknowledge the obvious one: its smooth texture and subtly rich taste do just combine to offer something genuinely delicious, even when you get a mediocre one.",في الواقع، هذا أمر يسعدني. أنا سعيد فعلاً بأننا في الماضي، كان من الممكن الدخول إلى أي حانة مع توقع ألا يتم تقديم جينيس. أما الآن، فبإمكان المرء أن يحصل على ما يفضّله في أي مكان تقريبًا. وبين كل الأسباب التي تفسر الشعبية المتزايدة للمشروب، يجب أن نعترف بالسبب الواضح: قوامه الناعم وطعمه الغني الخفيف يمتزجان في الواقع ليقدما شيئًا لذيذًا حقًا، حتى في حال كانت النتيجة ليست الأفضل.,0.0,1.7036573054002806,55.0,1.6414458802939094,True,register_mismatch,major,False,"The translation uses formal Modern Standard Arabic (MSA) instead of the requested Egyptian Arabic (ar_EG), and it fails to capture the idiomatic nature of the source.",5.0,6.0,6.0,4.0,6.0
EN→sr_Cyrl_RS,"Game 18 of #UniversityChallenge was Durham vs Open University. I was rooting for Durham, who have a great team, but in the end to my surprise Open took it, after a number of rather slow answers. I was glad Durham got Marcel Duchamp right on one question; too bad no one knew Yoko Ono as a Fluxus artist. Much respect for Durham Nash, especially on bird silhouettes and flags.","18. утакмица #UniversityChallenge-а била је између Дарем и Отвореног универзитета.Навијао сам за Дарам, који имају сјајан тим, али на крају је, на моје изненађење, Опен освојио титулу, након неколико прилично спорих одговора.Драго ми је што је Дарам тачно одговорио на једно питање Марсела Дишана; штета што нико није познавао Јоко Оно као уметницу Флуксуса.Велико поштовање за Дарам Неша, посебно због силуета птица и застава.",97.5,1.4214317443785989,55.0,1.6402224617045553,False,collocation,major,False,"The translation uses sports terminology for a quiz show, contains grammatical case errors, and lacks basic punctuation spacing.",4.0,4.0,3.5,5.0,4.5
EN→bho_IN,"""Talk of badges reminds of the famous one from the 1960s-70s,"" says Merran Loewenthal of Birchgrove. """"It Begins When You Sink in His Arms and Ends with Your Arms in His Sink."""" Jonty Grinter of Katoomba has one that reads ""Chronically Advantaged"" and adds that ""it should be standard issue for all over seventy.""","""बिल्ला के बात से 1960-70 के दशक के एगो मशहूर बिल्ला के याद आ जाला,"" बर्चग्रोव के मेरन लोएन्थल कहत बाड़ी। """"एकर शुरुआत तब होला जब रउआ ओकरा बांह में समा जानी आ अंत तब होला जब रउआ के बांह ओकरा सिंक में डूबल रहेला।"""" कटूम्बा के जॉन्टी ग्रिंटर के पास एगो बिल्ला बा जवना पर लिखल बा ""पुरान फायदा में"" आ उ कहत बाड़ें कि ""इ सत्तर साल से ऊपर के सभे खातिर मानक रूप से जारी होखे के चाहीं।""",98.5,1.444527301183184,72.0,1.6395295776228123,False,idiom_literal,major,False,"The translation fails to adapt the wordplay and puns (sink/sink and chronically advantaged), resulting in a literal rendering that loses all humor and meaning.",4.0,4.5,6.0,3.0,3.5
EN→ar_EG,"there's a lot of things that are wrong with america. this doesn't clock the 15th percentile. it's just an average sort of excess, another straw on the like last descendant of the great plains buffalo's ailing back. even so, even being as jaded to the way that americans eat as i am, having ordered a one-scoop cup of superman flavor ice cream last night, i find that i have not and could never reach rock bottom. there is a 121st day of sodom, my uncle who works at nintendo told me about it.",هناك الكثير من الأمور الخاطئة في أمريكا. هذا الأمر لا يصل حتى إلى حدود أسوأ 15% منها. إنه مجرد حالة من الإفراط العادي، كقشة إضافية على ظهر آخر سليل من جاموس السهول الكبرى المريض. ومع ذلك، وبالرغم من تشاؤمي تجاه عادات الأكل الأمريكية، ورغم أنني طلبت أمس كوبًا واحدًا فقط من آيس كريم بنكهة سوبرمان، إلا أنني أدركت أنني لم أصل ولن أصل أبدًا إلى الحضيض الحقيقي. هناك ما يُعرف بيوم الـ121 في سدوم، وقد أخبرني عمي، الذي يعمل في شركة نينتندو، عنه.,0.0,1.7015217586929168,72.0,1.6386233444195382,True,register_mismatch,major,True,"The translation uses formal Modern Standard Arabic (MSA) instead of the requested Egyptian Arabic (ar_EG), failing to capture the cynical, internet-inflected tone.",5.0,6.0,6.5,4.5,5.5
EN→bho_IN,"Declan’s mind flickered through every worry he’d been carrying since stepping off that bus. Was Kyle reading him that easily? It felt like he was peeling back layers without even trying. That low, familiar buzz of uncertainty crept up again, and somehow, Kyle seemed to catch it without a word.
“I know it’s not easy, kid.” Kyle gave a small, almost fatherly sigh. His voice was lower now; gentle, but steady. “But here’s the thing. If you stay with us, you’re not just crashing at a billet house. I’m offering you space to breathe. A place to land when everything else feels like it’s spinning.”","डेक्लन के दिमाग ओह हर चिंता में झिलमिलात रहे जवन ऊ ओह बस से उतरला के बाद से लेके चलत रहले.का काइल ओकरा के एतना आसानी से पढ़त रहले?लागत रहे कि उ बिना कोशिश तक कईले परत परत छीलत बाड़े।अनिश्चितता के ऊ निचला, परिचित गुंजाइश फेरु से रेंगत आ गइल आ कवनो तरह से, काइल लागत रहे कि बिना कवनो शब्द के ओकरा के पकड़ लिहले बा.
“हमरा मालूम बा कि ई आसान नइखे लइका.” काइल एगो छोट, लगभग पिता निहन आह भरले। उनकर आवाज अब कम हो गइल रहे; कोमल, बाकिर स्थिर। ""लेकिन इहाँ बात बा। हमनी के संगे रहब त सिर्फ बिलेट हाउस प दुर्घटना नईखी होखत। हम तहरा के सांस लेवे के जगह दे रहल बानी। जमीन उतरे के जगह जब बाकी सब कुछ घूमत महसूस होखे।""",90.0,1.2554486137416958,58.0,1.635858570268217,False,false_friend,critical,False,The translation contains a critical error by translating the informal 'crashing' (staying/sleeping) as 'दुर्घटना' (a physical accident/crash).,3.0,3.0,4.0,3.0,2.0
EN→sr_Cyrl_RS,"you know that picture of the guy with the shirt that says 0 fears and then bart swimpson porn is banned so it says 1 fear? It's similar to that except now i am afraid to eat the home cooking of anybody i do not know intimately because there is a slim yet extant chance that i might sit down to a delicious home cooked normals dinner to eat with them in their house and similar to judas at the famous dinner they might kiss my cheek good-like then serve me up ""COOL RANCH BISCUITS WITH HONEY BUTTER""","Znaš taj sliku tog muškarca sa majicom koja kaže 0 strahova i onda Bart Simpson porno zabranjeno, pa kaže 1 strah? Slično je to, osim što sada sam strah da jedem kućno jelo bilo koga kojeg ne poznajem intimno jer postoji malo, ali ipak postojeće šanse da se sijedem na delikatno kućno pripremljeno obično večere da jedem sa njima u njihovoj kući i slično kao Judas na slavnoj večeri oni mogu da me poljube na obraz kao da su mi prijatelji, a zatim mi serviraju ""KUHINJA RANCH BISKUITI SA MEDOM MLEVENIM"".",85.0,1.1444819669206479,32.0,1.6333606548766393,False,calque,critical,False,"The translation is riddled with literal calques, grammatical gender/case errors, and fails to recognize cultural references like the Last Supper (Tajna večera).",2.0,2.0,3.0,2.0,2.0
EN→sr_Cyrl_RS,"Declan didn’t even realize he was nodding until the motion was halfway done.
Something about the way Kyle spoke; calm, direct, like he actually got it. It cut through the usual static in Declan’s brain. He didn’t know what was happening, not really. Just that, for some reason, this guy already had a kind of hold on him. Not in a forced way. Just…steady. Solid. Like someone who meant what he said and wouldn’t flake the second things got hard.
No adult had ever made him feel that before. Not a teacher. Not a coach. Not even his own dad. ","Деклан није ни схватио да кима док покрет није био на пола пута.
Нешто у начину на који је Кајл говорио; мирно, директно, као да заиста разуме. То је пробило уобичајену буку у Декланом мозгу. Није знао шта се дешава, не заиста. Само да, из неког разлога, овај тип већ има неку врсту утицаја на њега. Не на присилан начин. Само... стабилно. Чврсто. Као неко ко мисли оно што каже и неће се повући чим ствари постану тешке.
Ниједан одрастао га никад раније није учинио да се тако осећа. Ни учитељ. Ни тренер. Чак ни његов отац.",97.5,1.4277899158464773,62.0,1.6318189147338389,False,calque,major,True,The translation suffers from heavy syntactic calquing and grammatical errors in possessive forms and noun usage.,4.0,4.0,5.5,5.0,3.5
EN→bho_IN,"Declan’s mind flickered through every worry he’d been carrying since stepping off that bus. Was Kyle reading him that easily? It felt like he was peeling back layers without even trying. That low, familiar buzz of uncertainty crept up again, and somehow, Kyle seemed to catch it without a word.
“I know it’s not easy, kid.” Kyle gave a small, almost fatherly sigh. His voice was lower now; gentle, but steady. “But here’s the thing. If you stay with us, you’re not just crashing at a billet house. I’m offering you space to breathe. A place to land when everything else feels like it’s spinning.”","ओह बस से उतरला के बाद से जवन चिंता लेके चलत रहले, ओकरा में डेक्लन के दिमाग झिलमिलात रहे। का काइल ओकरा के एतना आसानी से पढ़त रहले? लागत रहे कि उ बिना कोशिश तक कईले परत परत छीलत बाड़े। अनिश्चितता के ऊ निचला, परिचित गुंजाइश फेरु से रेंगत आ गइल आ कवनो तरह से, काइल लागत रहे कि बिना कवनो शब्द के ओकरा के पकड़ लिहले बा.
â€œहमरा मालूम बा कि ई आसान नइखे बच्चा।â€ काइल एगो छोट, लगभग पिता निहन आह भरले। उनकर आवाज अब कम हो गइल रहे; कोमल, बाकिर स्थिर। â€œलेकिन इहाँ बात बा। अगर रउरा हमनी का साथे रहब त रउरा खाली बिलेट हाउस पर दुर्घटनाग्रस्त नइखीं होत. हम तहरा के साँस लेबे के जगह दे रहल बानी। जब बाकी सब कुछ घूमत लागे त उतरे के जगह।â€",89.5,1.2474655299652817,52.0,1.6314935824780168,False,calque,critical,False,The translation critically mistranslates 'crashing' (staying/sleeping) as a vehicular accident and inconsistently switches between formal and informal pronouns.,3.0,3.0,4.0,2.0,2.0
EN→ar_EG,"there's a lot of things that are wrong with america. this doesn't clock the 15th percentile. it's just an average sort of excess, another straw on the like last descendant of the great plains buffalo's ailing back. even so, even being as jaded to the way that americans eat as i am, having ordered a one-scoop cup of superman flavor ice cream last night, i find that i have not and could never reach rock bottom. there is a 121st day of sodom, my uncle who works at nintendo told me about it.",هناك الكثير من العيوب في أمريكا، وهذا الأمر لا يُصنّف حتى ضمن أسوئها. إنه مجرد نوع من الإفراط العادي، قشة أخرى تُضاف إلى ظهر السليل الأخير لجاموس السهول العظمى المعتل. ومع ذلك، ورغم تبلّد إحساسي تجاه الطريقة التي يأكل بها الأمريكيون، وبعد أن طلبتُ كوبًا بمغرفة واحدة من آيس كريم بنكهة سوبرمان الليلة الماضية، أجد أنني لم أصل قط إلى الحضيض ولن أصل إليه أبدًا. فهناك يومٌ بعد المئة والعشرين في سدوم، وقد أخبرني عنه عمي الذي يعمل في نينتندو.,0.5,1.7039351639401723,62.0,1.6268969547910839,True,register_mismatch,major,False,"The translation uses formal Modern Standard Arabic instead of the requested Egyptian Arabic (ar_EG) and renders complex metaphors with stiff, literal phrasing.",5.0,6.0,7.0,4.0,5.0
EN→ar_EG,"This chair works very well in the van. Should ideally be fastened better to the floor, but it has a nice three mode positions.
Seating, and chaise-long, and flat as a bed with the passenger seat folded down.","يعمل هذا الكرسي بشكل جيد جدًا في الشاحنة. يفضل تثبيته في الأرضية بإحكام أكبر، ولكنه يتميز بثلاثة أوضاع رائعة.
وضعية الجلوس، ووضعية الاسترخاء (شيزلونج)، ومسطحة كسرير عند طي مقعد الراكب.",0.0,1.6884078562152092,80.0,1.6212907990489769,True,calque,minor,True,The translation uses formal MSA (Modern Standard Arabic) instead of Egyptian Arabic (ar_EG) and contains a grammatical inconsistency in the list of positions.,5.0,6.0,6.0,5.0,5.5
EN→bho_IN,"“Night,” Declan mumbled, voice low.
Kyle paused at the door, gave him a look that was genuine. “We’re glad you’re here, Declan. Really.”
And just like that, they left him to it. The door left slightly ajar, like a quiet sign he wasn’t on his own here.
Declan stood for a moment, duffel still in hand, just taking it in. The house was quiet now, except for the faint sound of a TV down the hall and the occasional creak of floorboards.
He let out a long breath, dropped his bag by the desk, and sat on the edge of the bed. 
He kicked off his shoes and lay back, hands behind his head, eyes tracing the ceiling. Through the door of the Jack and Jill bathroom, he could hear faint movement; Ryan brushing his teeth maybe, or just walking around his own room. 
A shared wall, a shared life, starting now.
Maybe this year wouldn’t suck.","“रात,” डेक्लन गुनगुनाए, आवाज नीची।  
काइल दरवाजा पे रुक गेल, ओकर निगाह सच्चा लागल। “हमरा खुसी बा कि तुम यहाँ बा, डेक्लन। सच में।”  
एही तरह, उ लोग ओका के ओकरा पे छोड़ देल। दरवाजा के थोड़ा खुलल राखल गेल, जइसे चुपचाप इशारा कि उ यहाँ अकेला ना बा।  
डेक्लन कुछ देर खाड़ रहल, डफल बैग ओकर हाथ में रहल, बस ओही में लीन। घर अब शांत रहल, सिवाय हॉल में टीवी के धीमी आवाज आ फर्श के बोर्ड के कभी-कभी चीख के।  
उ लंबा साँस छोड़ल, ओकर बैग डेस्क के पास फेंकल आ बिस्तर के किनारा पे बइठ गेल।  
उ ओकर जूता उतार देल आ पीठ पीछे हाथ लेके लेट गेल, आँखी से छत के निहारत। जैक आ जिल बाथरूम के दरवाजा से उ धीमे हरकत सुन सकेल; शायद रयान दाँत मंजन कर रहल होखी, या फिर ओकर कमरा में घूम रहल होखी।  
एक साझा दीवार, एक साझा जिंदगी, अब से शुरू।  
शायद ए साल ठीक रही।",90.5,1.2780673511082026,74.0,1.620879725792673,False,calque,major,False,"The translation is a literal calque of English structures, resulting in unnatural phrasing and incorrect collocations like using 'scream' (चीख) for 'creak'.",3.0,3.0,4.0,3.0,3.0
EN→ar_EG,"Music to my ears, really - I'm just pleased that while years ago you could walk into a pub and reasonably expect that Guinness wouldn't be served there, these days I can pretty much get my preferred pint anywhere. And, among all of the arguments to explain the surge in approval for the drink, it is important to acknowledge the obvious one: its smooth texture and subtly rich taste do just combine to offer something genuinely delicious, even when you get a mediocre one.",موسيقى تدعو إلى البهجة، حقًا - أشعر بالرضا لأنه بينما كان من الممكن في الماضي أن تدخل حانة وتتوقع بسهولة ألا يُقدَّم الغينيس هناك، يمكنني اليوم تقريبًا الحصول على الكأس المفضل لدي في أي مكان. والواقع أنه من بين جميع الحجج التي تفسر الزيادة في التأييد لهذا المشروب، من المهم الاعتراف بالحجة الواضحة: نسيجُه الناعم وطعمه الغني الفريد يدمجان معاً ليقدما شيئًا لذيذاً بحق، حتى عندما تحصل على كأس متوسطٍ المذاق.,0.0,1.6863872315173771,60.0,1.6186201547223482,True,collocation,major,False,The translation uses incorrect collocations such as 'نسيج' (fabric/tissue) for a drink's texture and 'التأييد' (political support) for popularity.,5.5,4.5,7.0,5.5,5.5
EN→ru_RU,"For those wondering, I still have my hotel room. I played it safe and didn't want to rely on being able to get keys yesterday with luggage in tow","Для тех, кому интересно: у меня всё ещё есть номер в отеле. Я решила перестраховаться и не полагаться на возможность получить ключи вчера, таская за собой багаж.",86.0,3.6269892251372244,88.0,1.617918008081841,True,none,cosmetic,False,The translation is highly natural and accurately captures the casual tone and idiomatic expressions of the source.,8.0,8.0,9.0,9.0,8.0
